Crop,Country,District,Year,Month,Rainfall_mm,Temperature_C,Fertilizer,N,P,K,Yield_t_per_ha
Sugarcane,Sri Lanka,Anuradhapura,2022,11,65.78,27.66,77.41,48.88,18.0,16.66,72.69
Rubber,Sri Lanka,Matara,2025,1,187.88,26.77,77.55,72.91,22.13,18.03,1.38
Tea,Sri Lanka,Kandy,2025,11,169.37,20.96,75.41,62.41,25.49,19.66,2.39
Cinnamon,Sri Lanka,Galle,2023,6,194.74,27.73,78.26,57.43,18.42,15.0,0.58
Rubber,Sri Lanka,Galle,2018,6,209.46,26.62,68.36,53.63,19.49,16.93,1.54
Rice,Sri Lanka,Anuradhapura,2021,7,231.71,29.93,75.67,56.73,18.0,15.0,3.9
Tea,Sri Lanka,Kandy,2019,1,175.07,16.7,75.96,51.47,25.71,17.71,2.37
Cinnamon,Sri Lanka,Matara,2022,8,192.06,27.75,80.75,63.23,21.44,22.95,0.76
Rubber,Sri Lanka,Galle,2022,11,141.54,27.55,81.07,57.45,24.99,23.13,1.62
Rice,Sri Lanka,Trincomalee,2017,10,182.9,29.42,81.78,69.43,20.38,19.45,4.48
Rubber,Sri Lanka,Galle,2019,2,128.78,28.28,67.27,54.17,22.04,16.19,1.46
Tea,Sri Lanka,Kandy,2015,12,182.74,18.94,79.12,63.74,23.76,17.53,2.27
Sugarcane,Sri Lanka,Kurunegala,2019,12,66.2,33.12,73.89,58.43,22.63,20.56,79.35
Tea,Sri Lanka,Badulla,2023,1,173.49,22.78,72.91,64.12,24.07,23.28,2.1
Rubber,Sri Lanka,Matara,2025,10,134.5,31.85,84.18,62.49,26.95,20.52,1.95
Tea,Sri Lanka,Ratnapura,2018,4,173.44,25.42,75.63,54.71,22.94,19.28,2.11
Rice,Sri Lanka,Anuradhapura,2022,6,193.06,34.3,76.52,68.61,20.59,15.76,5.97
Sugarcane,Sri Lanka,Polonnaruwa,2022,2,82.01,29.36,82.91,62.51,32.0,22.12,74.67
Rice,Sri Lanka,Trincomalee,2022,5,171.02,33.23,79.22,60.74,24.1,20.66,4.78
Cinnamon,Sri Lanka,Kalutara,2017,12,148.44,27.4,75.3,57.28,19.7,15.96,0.44
Rice,Sri Lanka,Trincomalee,2025,2,85.47,24.31,72.75,56.39,23.59,21.96,4.33
Cinnamon,Sri Lanka,Galle,2025,10,147.95,26.88,81.14,62.6,22.88,18.9,0.61
Cinnamon,Sri Lanka,Galle,2016,5,184.07,27.59,77.43,63.95,29.27,16.66,0.74
Sugarcane,Sri Lanka,Kurunegala,2017,2,63.57,25.65,73.17,55.82,23.85,18.45,75.22
Rice,Sri Lanka,Anuradhapura,2018,1,145.41,25.1,79.79,59.17,26.96,22.68,5.33
Tea,Sri Lanka,Kandy,2020,7,269.66,20.46,80.45,63.92,31.43,15.0,2.34
Rice,Sri Lanka,Polonnaruwa,2019,5,177.9,30.72,67.5,50.76,23.96,15.0,4.77
Tea,Sri Lanka,Badulla,2021,5,226.27,25.49,82.41,69.66,22.6,16.31,1.95
Sugarcane,Sri Lanka,Kurunegala,2022,1,87.74,27.78,79.09,63.01,24.66,19.25,78.23
Rubber,Sri Lanka,Galle,2018,9,191.47,26.28,73.23,70.05,20.7,15.0,1.63
Tea,Sri Lanka,Ratnapura,2020,6,215.41,21.31,78.27,66.77,24.29,15.52,2.38
Cinnamon,Sri Lanka,Matara,2019,11,161.21,24.63,77.2,61.84,25.5,19.68,0.83
Sugarcane,Sri Lanka,Anuradhapura,2015,5,164.67,31.28,73.2,51.57,19.05,18.48,76.6
Cinnamon,Sri Lanka,Matara,2016,3,133.82,26.21,83.11,68.81,23.94,15.0,0.85
Tea,Sri Lanka,Matara,2017,8,294.27,28.0,76.25,57.07,23.92,17.02,2.05
Rice,Sri Lanka,Anuradhapura,2024,8,211.93,33.84,72.94,64.31,24.02,18.58,3.65
Cinnamon,Sri Lanka,Galle,2016,7,223.65,29.6,70.86,58.66,22.47,17.39,0.77
Tea,Sri Lanka,Nuwara Eliya,2018,8,294.09,24.82,77.19,72.65,19.71,15.0,2.23
Sugarcane,Sri Lanka,Polonnaruwa,2023,1,85.1,31.12,85.64,71.13,25.81,15.61,73.75
Rubber,Sri Lanka,Kegalle,2016,8,241.59,30.48,75.74,60.43,22.33,19.19,1.74
Rice,Sri Lanka,Jaffna,2017,3,78.33,31.29,82.07,60.01,29.52,19.47,4.7
Rice,Sri Lanka,Polonnaruwa,2022,6,235.61,24.93,70.45,56.73,24.31,16.39,4.07
Cinnamon,Sri Lanka,Matara,2022,7,211.15,26.85,69.34,57.5,25.31,23.17,0.72
Tea,Sri Lanka,Nuwara Eliya,2025,12,178.64,21.86,82.54,69.36,21.97,21.34,2.13
Cinnamon,Sri Lanka,Matara,2025,7,225.82,26.8,66.05,54.89,21.46,20.79,0.8
Tea,Sri Lanka,Ratnapura,2015,3,179.67,18.01,64.37,45.0,18.0,15.0,2.48
Rice,Sri Lanka,Kurunegala,2016,8,197.88,24.87,86.15,70.74,23.3,23.15,4.52
Rice,Sri Lanka,Kurunegala,2021,4,141.67,30.45,63.58,53.24,21.58,15.0,4.47
Sugarcane,Sri Lanka,Kurunegala,2019,11,83.2,27.14,79.36,64.54,21.84,18.89,71.64
Rice,Sri Lanka,Jaffna,2015,3,108.96,29.47,70.5,57.33,18.13,17.48,4.26
Cinnamon,Sri Lanka,Galle,2016,11,148.11,25.18,73.44,59.49,23.98,17.85,0.52
Rice,Sri Lanka,Anuradhapura,2018,12,116.06,23.76,73.15,56.19,26.47,19.68,4.06
Cinnamon,Sri Lanka,Galle,2021,9,164.38,27.99,73.59,61.25,25.39,16.56,0.85
Tea,Sri Lanka,Ratnapura,2016,2,180.77,17.54,82.76,64.12,18.29,15.77,2.25
Rice,Sri Lanka,Anuradhapura,2023,11,138.05,31.39,79.23,62.89,20.42,15.0,4.41
Rice,Sri Lanka,Kurunegala,2021,4,135.36,32.99,70.74,53.82,18.97,19.09,4.9
Rubber,Sri Lanka,Ratnapura,2015,5,221.3,31.99,85.67,71.38,19.5,15.0,1.61
Tea,Sri Lanka,Ratnapura,2020,4,195.37,19.24,78.26,58.21,23.11,20.31,2.48
Tea,Sri Lanka,Kandy,2020,3,144.51,20.04,83.0,80.08,20.47,21.96,2.87
Rice,Sri Lanka,Batticaloa,2021,12,192.88,26.53,79.87,59.0,26.46,22.3,4.72
Rice,Sri Lanka,Jaffna,2018,10,187.4,32.12,74.48,55.05,23.01,23.33,5.17
Rice,Sri Lanka,Anuradhapura,2015,10,185.85,32.47,81.46,73.55,27.72,24.15,4.52
Sugarcane,Sri Lanka,Kurunegala,2023,2,73.84,26.72,77.24,67.74,20.19,15.23,83.24
Tea,Sri Lanka,Badulla,2016,7,246.82,23.41,72.51,61.53,25.83,15.0,2.67
Rubber,Sri Lanka,Kegalle,2015,10,196.67,25.19,74.51,57.11,32.0,16.33,1.58
Cinnamon,Sri Lanka,Matara,2023,2,166.73,25.08,80.84,62.53,24.98,21.63,0.63
Sugarcane,Sri Lanka,Anuradhapura,2017,6,142.85,27.54,76.99,57.49,22.91,15.0,77.31
Tea,Sri Lanka,Kandy,2015,6,258.48,21.47,84.13,70.35,32.0,15.0,2.35
Rubber,Sri Lanka,Kalutara,2015,7,255.48,26.4,73.52,54.53,18.0,22.52,1.61
Rubber,Sri Lanka,Galle,2023,3,109.98,24.15,84.31,54.96,28.15,27.38,1.7
Rubber,Sri Lanka,Galle,2023,2,109.22,25.47,77.72,74.84,18.0,17.41,1.54
Tea,Sri Lanka,Badulla,2016,3,170.41,17.92,79.53,60.4,27.55,15.0,2.39
Cinnamon,Sri Lanka,Galle,2024,11,146.89,24.92,76.68,59.38,21.51,25.66,0.47
Rubber,Sri Lanka,Kegalle,2018,10,188.63,25.7,83.5,60.47,22.63,27.11,1.51
Tea,Sri Lanka,Nuwara Eliya,2022,3,144.55,19.64,76.0,56.43,25.74,15.0,2.27
Rubber,Sri Lanka,Kalutara,2021,5,165.58,32.66,77.39,63.12,25.28,26.93,1.59
Sugarcane,Sri Lanka,Anuradhapura,2016,10,107.74,35.58,86.26,65.55,24.1,15.76,77.34
Sugarcane,Sri Lanka,Kurunegala,2016,1,92.96,31.51,79.98,66.15,25.15,20.45,76.53
Rubber,Sri Lanka,Kegalle,2020,5,170.55,29.72,87.74,71.82,25.51,20.99,1.52
Sugarcane,Sri Lanka,Kurunegala,2024,5,128.29,30.94,89.32,76.5,24.19,23.04,69.68
Sugarcane,Sri Lanka,Polonnaruwa,2015,2,99.19,25.68,74.84,51.55,23.0,15.0,70.04
Rubber,Sri Lanka,Ratnapura,2016,6,226.42,26.54,77.46,58.27,22.94,24.96,1.61
Cinnamon,Sri Lanka,Kalutara,2017,11,159.98,22.45,78.72,66.26,20.24,18.56,0.63
Rubber,Sri Lanka,Kegalle,2024,4,183.82,26.7,65.89,48.89,18.0,21.88,1.64
Rice,Sri Lanka,Jaffna,2025,4,127.76,29.17,73.76,60.08,22.14,15.0,4.27
Sugarcane,Sri Lanka,Polonnaruwa,2016,3,84.0,32.03,83.28,65.43,24.65,19.74,82.12
Rice,Sri Lanka,Batticaloa,2021,11,94.95,26.23,79.3,60.36,21.33,17.5,3.86
Tea,Sri Lanka,Matara,2024,12,235.7,21.47,79.96,70.1,24.6,18.44,2.23
Cinnamon,Sri Lanka,Kalutara,2017,9,194.41,26.58,77.21,63.53,23.2,22.59,0.49
Tea,Sri Lanka,Badulla,2018,3,166.64,23.53,82.71,72.48,26.12,15.0,2.0
Cinnamon,Sri Lanka,Matara,2021,3,134.17,26.59,80.96,66.35,26.13,16.42,0.39
Rice,Sri Lanka,Batticaloa,2020,7,221.93,32.18,71.82,57.7,21.27,15.64,4.54
Rubber,Sri Lanka,Kalutara,2019,5,202.98,28.03,69.01,53.39,25.55,15.0,1.82
Cinnamon,Sri Lanka,Kalutara,2021,2,114.83,26.12,74.54,56.79,21.23,19.39,0.82
Cinnamon,Sri Lanka,Kalutara,2024,12,157.85,24.06,78.12,63.63,24.36,22.23,0.56
Sugarcane,Sri Lanka,Polonnaruwa,2017,2,60.38,25.37,77.35,60.96,18.0,18.44,82.94
Rubber,Sri Lanka,Kalutara,2024,5,176.31,26.62,73.93,52.86,24.76,23.54,1.65
Cinnamon,Sri Lanka,Matara,2021,1,173.26,25.39,77.36,61.33,20.65,16.77,0.56
Sugarcane,Sri Lanka,Anuradhapura,2022,7,137.03,29.54,80.82,61.58,23.02,21.29,78.83
Cinnamon,Sri Lanka,Galle,2025,3,110.53,27.71,77.6,78.28,30.77,19.44,0.63
Rice,Sri Lanka,Kurunegala,2016,6,255.77,30.63,77.41,61.76,25.45,18.16,4.81
Tea,Sri Lanka,Ratnapura,2023,6,204.5,23.55,78.77,53.35,18.0,22.33,1.82
Tea,Sri Lanka,Ratnapura,2025,8,263.79,25.25,73.88,59.55,18.0,17.33,2.03
Cinnamon,Sri Lanka,Matara,2015,8,188.0,25.76,73.2,50.6,22.98,15.58,0.52
Rubber,Sri Lanka,Galle,2016,6,244.71,33.46,73.8,50.96,23.46,15.0,1.7
Rubber,Sri Lanka,Galle,2016,10,186.96,26.97,72.05,60.14,20.97,20.99,1.55
Rubber,Sri Lanka,Ratnapura,2015,7,203.53,32.68,86.07,68.82,22.52,21.71,1.53
Tea,Sri Lanka,Nuwara Eliya,2018,11,211.94,23.07,74.78,48.59,18.0,15.0,2.44
Rubber,Sri Lanka,Ratnapura,2017,10,155.11,28.01,74.32,64.52,18.0,17.94,1.74
Rubber,Sri Lanka,Kalutara,2019,4,186.43,26.17,81.96,67.41,32.0,27.78,1.48
Cinnamon,Sri Lanka,Kalutara,2020,3,113.11,24.44,79.39,66.18,26.33,26.08,0.51
Cinnamon,Sri Lanka,Galle,2024,9,172.92,24.99,77.26,74.0,21.21,22.13,0.71
Tea,Sri Lanka,Nuwara Eliya,2024,1,198.15,23.94,77.85,71.81,22.89,18.94,1.79
Sugarcane,Sri Lanka,Polonnaruwa,2025,3,64.75,32.66,82.2,69.17,29.12,21.27,77.21
Sugarcane,Sri Lanka,Kurunegala,2025,4,90.03,33.65,76.67,57.43,27.71,15.0,74.62
Rubber,Sri Lanka,Kegalle,2020,12,129.45,28.96,73.72,67.83,24.38,19.29,1.55
Sugarcane,Sri Lanka,Kurunegala,2018,12,62.64,27.5,78.11,55.89,22.03,21.39,74.91
Rubber,Sri Lanka,Matara,2024,8,226.3,32.26,75.5,53.4,24.77,19.84,1.48
Rice,Sri Lanka,Kurunegala,2015,9,147.06,29.66,73.45,53.43,25.14,18.0,5.53
Rice,Sri Lanka,Trincomalee,2016,11,129.39,30.05,81.88,49.88,18.66,18.45,3.9
Rice,Sri Lanka,Anuradhapura,2025,11,132.34,27.94,81.95,74.05,29.82,16.95,4.59
Sugarcane,Sri Lanka,Kurunegala,2016,2,59.49,28.34,91.41,73.67,23.7,28.0,81.65
Cinnamon,Sri Lanka,Kalutara,2023,9,133.34,25.49,69.95,48.47,18.0,17.82,0.67
Cinnamon,Sri Lanka,Matara,2022,5,166.27,30.28,83.99,72.79,18.0,26.52,0.85
Cinnamon,Sri Lanka,Galle,2021,4,135.82,23.91,70.84,59.11,18.0,15.0,0.79
Cinnamon,Sri Lanka,Kalutara,2020,9,155.69,29.65,77.51,54.74,18.05,20.64,0.66
Cinnamon,Sri Lanka,Matara,2023,11,191.8,27.83,72.16,66.42,18.0,15.0,0.74
Rubber,Sri Lanka,Kalutara,2020,7,190.9,31.36,78.28,60.46,22.26,16.97,1.47
Cinnamon,Sri Lanka,Matara,2018,3,164.57,29.27,82.49,67.73,26.45,15.0,0.79
